Organization Name,Website,General Email,Founder Email,Country,Mission,Focus,Number of diseases,Rare Disease Focus,Confirmed Nonprofit status,founding_year,stakeholder_type,stakeholder_category,Founder names,Website mentions drug repurposing,Does organization utilize a biobank?,Does organization collect contact info?,Does organization utilize a natural history study/registry?,Does organization utilize a communication discussion platform?,Does organization have a formalized research agenda?,Does organization utilize crowdsourcing for research agenda?,Does organization have an SAB/MAB? ,Does organization have formalized treatment guidelines?,Does organization organize a conference?,"Is organization a member of umbrella organizations (NORD, Global genes, etc)?"
Pulmonary Hypertension Association,https://phassociation.org/,PHA@PHAssociation.org,MattG@phassociation.org,United States of America,Our mission is to extend and improve the lives of those affected by PH.,"Patient education (eg. Patient education conferences, continuing educational resources), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), External disease awareness, Basic research (how the disease works), New drug development, Fundraising efforts",One specific disease,Pulmonary hypertension (PH),Yes,1991,Unknown,Unknown,"Pat Paton and Jerry Paton, Olsons, Knaziks, and Judy Simpson and Ed Simpson.",N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history registry),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),N/A (the organization doesn't have or doesn't mention a research agenda),Yes,Yes,Unknown (the organization does not mention an annual conference),"NORD, Global Genes (Rare Foundation Alliance), Charity Navigator"
PURA Syndrome Foundation,https://www.purasyndrome.org/,families@pura-syndrome.org appears to be the most generic e-mail listed.,a.shanks@pura-syndrome.org,United States of America,"The PURA Syndrome Foundation supports and educates patients and their families, providing a global community. This community provides a place of belonging to those who may otherwise feel isolated by rare disease, enriches the medical research being completed and educates those outside the community about the condition.  

Our mission is to serve, educate and fund research for families coping with the effects of PURA syndrome.

Our values are:
• Respect – everyone is valued
• Community – everyone belongs
• Teamwork – Foundation, families, clinicians and researchers as one
• Continuity – plans for future growth and change
• Responsibility – ethics and governance","Basic research (how the disease works), Fundraising efforts",One specific disease,PURA syndrome,Yes,2016,Unknown,Unknown,"Amanda Shanks is the President and mother of a patient, but it is unclear if she is the founder.",N/A,Yes (the organization utilizes a biobank),Yes,Yes (the organization utilizes a natural history registry),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Yes,"NORD, Rare Foundation Alliance"
Putting Rare Diseases Patients First! - All Rare Diseases,https://www.puttingrarediseasespatientsfirst.org/,lspeid@prdpf.org,lspeid@prdpf.org,United States of America,"I could not find a mission statement, but they seem interested in all rare diseases, but Sickle Cell more than any other.","Patient education (eg. Patient education conferences, continuing educational resources)",A set of diseases,"They seem interested in all rare diseases, but Sickle Cell more than any other.",Yes,2014,Pharmaceutical,Pharmaceutical,Lorna Speid,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),N/A (the organization doesn't have or doesn't mention a research agenda),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
Rare & Undiagnosed Network,https://rareundiagnosed.org/,https://rareundiagnosed.org/contact-us/,ginaszajnuk@gmail.com,United States of America,"Raise awareness for families with children afflicted with undiagnosed or rare diagnosed conditions. Urge insurance companies to reimburse genome sequencing in clinical settings. Network with researchers, insurance providers, and industry stakeholders to meet these families’ needs.","External disease awareness, Fundraising efforts, Policy development and advocacy",A set of diseases,Rare diseases NOS,Yes,2015,"Patient's loved one (parent, spouse, etc).",Loved one,"Gina Szajnuk, Co-founder & Executive Director; 
Mary Elizabeth Parker, PT, PhD, PCS, NCS – Medical Liaison & Co-founder",N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
Rare Cancer Research Foundation,https://rarecancer.org/,requests@rcrf.org,N/A,United States of America,The Rare Cancer Research Foundation is dedicated to curing rare cancers through strategic investments and innovative collaborations that facilitate effective research and accelerate deployment of promising therapies.,Fundraising efforts,A set of diseases,Rare Cancer NOS,Yes,2013,Patient,Patient,"Mark Laabs, Founder",N/A,Yes (the organization utilizes a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
Rare disease Innovations Institute - Multiple Rare Diseases,https://rdii.org/,N/A,tjbritt@rdii.org,United States of America,"RDII is a global non-profit focused on educating, engaging and equipping the rare disease community. Through policy, tools and data we achieve a higher quality of life, accelerating diagnosis and enabling access and treatment","Fundraising efforts, Policy development and advocacy",A set of diseases,Rare diseases NOS,Yes,2016,Unknown,Unknown,Tara J. Britt,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),Global Genes (Rare Foundation Alliance)
Rare Genomics Institute,https://www.raregenomics.org/,contact@raregenomics.org,N/A,United States of America,"Dedicated to Overcoming Barriers
At RG, we are more than just an organization. We are a community dedicated to helping rare disease patients find hope for a cure.

We work alongside patients and their families, providing them with the necessary tools, knowledge, and connections so that they can better understand the cause of their disease. We believe that every patient deserves more out of life.

A Culture of Caring
Rare diseases can affect any family at any time. Rare diseases have no boundaries, whether social, economic, or geographic.

We at RG understand the pain that rare disease patients and their families go through. And we care deeply about helping our patients. It’s in our DNA.

Focused on the Individual
While individuals with rare disease face similar challenges, each rare disease is unique in its own way.  That’s why we focus attention on the individual. 

Individuals receive information about their unique genetic sequence so that their doctors can identify the specific treatment that is right for them.

Organizational Transparency
RG is committed to outstanding stewardship of donated funds.  We do not take for granted the trust of our donors.

We aim for accountability and transparency in everything we do, including with every dollar we raise and spend.

Results
Our mission is to help individuals with rare disease obtain genetic sequencing data to help better understand their disease.  Donated funds go directly towards this mission.","Patient education (eg. Patient education conferences, continuing educational resources), Basic research (how the disease works)",A set of diseases,they set up a rare disease page on the website without mentioning which ones are their primary interests: https://www.raregenomics.org/rare-disease-list,Yes,2016,Researcher,Researcher,Jimmy Lin,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
Rare Kids Network,https://www.rarekidsnetwork.org/,info@rarekidsnetwork.org.,N/A,United States of America,"Children with rare illnesses have complex needs to accomplish basic daily tasks.

Rare Kids Network is a 501(c)(3) corporation partnering with health care providers to bridge the gap between inpatient hospitalizations and outpatient support services to facilitate a better quality of life.   We help children and  families overcome the social, economic and physical challenges of living with a rare illness.   And, the added bonus is that we do not charge a fee for our assistance.

Newly diagnosed, undiagnosed or many years after diagnosis — you can rely on Rare Kids Network!","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs)",A set of diseases,Rare pediatric diseases NOS,Yes,2017,Unknown,Unknown,"Chair:  Patricia Redding, CEO & Founder — Rare Kids Network, Inc.
Treasurer: Nicholas Goodman, Partner — Baker Tilly
William Judd, FACHE, Chief Operating Officer — Pediatric Specialists of Virginia
Paula King, Business Development Director — Tri-Logistics, LLC
Kristina Leighty, Senior Vice President — MGAC
Laura Evans Manatos, President & Founder – Laura Evans Media
Ryan McKenzie, Vice President – Clark Construction Group
Rebecca Miller, MS, CGC – Inova Translational Medicine Institute
Natasha Shur, MD, Clinical Geneticist – Rare Disease Institute, Children’s National Health System
Enyonam Tetteh, M.Div, BCC, Manager; Chaplain, Pastoral & Spiritual Care —  Inova Women’s & Children’s Hospital",N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),N/A (the organization doesn't have or doesn't mention a research agenda),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),"NORD, Global Genes (Rare Foundation Alliance)"
Rare New England,https://www.rarenewengland.org/,Info@rarenewengland.org,​Julie@rarenewengland.org,United States of America,"https://www.rarenewengland.org/our-mission.html
RNE's mission is to bring together New England patients, families and providers touched by rare and complex disorders. We offer educational opportunities, create awareness of available resources,
and build foundations for support to improve patient quality of life.

RNE offers patient and family support, highlights our region's medical and community resources, connects patients to appropriate national support and advocacy groups, and creates educational opportunities for New England patients and providers to advance care and quality of life for rare disorder patients and their families. 

RNE strives to increase awareness that patients with rare and complex disorders live, work, attend school, and participate in communities across New England. Individually, we may be “rare,”
but together we are a vibrant, strong community with much to offer!

RNE provides education about issues affecting rare and complex patients and their families to the medical community, the education system, regional legislators, workplaces, and others. We address topics such as complex care coordination, ADA and IEP accommodations, medical insurance problems, and more. ​​","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs), External disease awareness, Basic research (how the disease works), Fundraising efforts",A set of diseases,Rare diseases NOS,Yes,2016,"Patient, Patient's loved one (parent, spouse, etc)., Researcher, Physician, Pharmaceutical","Patient, Loved one, Researcher, Physician, Pharmaceutical","Julie Gortze, RN
Founder/President",N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history study),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention treatment guidelines),Yes,Global Genes (Rare Foundation Alliance)
Rare Science,https://www.rarescience.org/,info@rarescience.org,N/A,United States of America,"https://www.rarescience.org/mission-and-approach/
RARE Science is a non- profit research organization that focuses on accelerating identification of more immediate therapeutic solutions for kids with rare disease potentially through repurposing currently approved drugs and other therapeutic approaches.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs), Policy development and advocacy",A set of diseases,Rare pediatric diseases NOS,Yes,2017,"Patient, Patient's loved one (parent, spouse, etc).","Patient, Loved one","Christina Waters, PHD, MBA
CEO / Founder",N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention treatment guidelines),Unknown (the organization does not mention an annual conference),Global Genes (Rare Foundation Alliance)
Rare Village Foundation - General Support Organization for several rare disorders,https://rarevillage.org/,info@rarevillage.org,N/A,United States of America,We want every rare parent or family confronted with a terminal diagnosis to know that they are not alone.,"Basic research (how the disease works), Fundraising efforts",A set of diseases,Rare diseases NOS,Yes,2019,"Patient's loved one (parent, spouse, etc).",Loved one,Gina & Kasey,On a roadmap for one of their campaigns: https://give.rarevillage.org/campaign/finding-hope-for-frrs1l/c351737,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),No (the organization states that they do not have published treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
Rare-X - General Support Organization,https://rare-x.org/,https://rare-x.org/connect/,N/A,United States of America,"We believe that rare patient communities, equipped to securely gather and share their data with collaborating researchers and companies around the globe, will significantly expand diversity, equity, and inclusion in research and dramatically accelerate progress across rare diseases. Our work supports the gathering, structuring and sharing of critical patient data at scale, that will accelerate diagnosis, disease understanding, and development of future treatments and cures.","Basic research (how the disease works), New drug development, Their focus is being a hub of patient information, making data accessible to researchers",A set of diseases,Rare diseases NOS,Yes,2019,champion of families affected by rare disease founded Global Genes,Unknown,"Nicole Boice
Founder and Executive Director",N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),"Global Genes (Rare Foundation Alliance), AAIH, Global Alliance for Genomics and Health, American Brain Coalition, and cdisc"
RareKC,https://rarekc.org/,info@rarekc.org,N/A,United States of America,"RareKC was created to connect the rare community – to empower our voices and inspire innovation throughout the medical and research community – all for the single purpose of rare. We will bring together both the passion and resources of our rare community in order to elevate our strength in numbers and foster an environment of hope for ourselves, and everyone else that joins us in this journey. Thank you for being part of the RareKC family, we look forward to the amazing work that we will inspire together.","Patient community development (eg. Communications, community connection with patients and loved ones), Fundraising efforts",A set of diseases,Rare diseases NOS,Yes,2017,"Patient's loved one (parent, spouse, etc).",Loved one,Kelly Ranallo,N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Yes,Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),"NORD, Global Genes (Rare Foundation Alliance)"
RASopathies Network USA,https://rasopathiesnet.org/,info@rasopathiesnet.org,N/A,United States of America,"Our mission is to advance research to improve the quality of life for RASopathies families by bringing together families, clinicians and scientists.","External disease awareness, Fundraising efforts",A set of diseases,RASopathies,Yes,2010,Unknown,Unknown,Lisa Schoyer,"Two mentions: These collaborations involve early drug discovery through high Throughput Screening (HTS) and repurposing known drugs to the clinic via access to development capabilities, such as lead optimization, ADME, PKjPD, toxicology, formulation development, scale up API and clinical & regulatory activities. https://rasopathiesnet.org/therapeutics-rare-neglected-diseases-trnd-program-nih-possibilities-drug-discovery-rasmapk-disorders/ and Rare Repurposing Open Call
The rare repurposing open call is a collaborative project between Findacure, Cures Within Reach, and Healx. We are searching for existing drug repurposing ideas for rare diseases that have yet to receive a full clinical trial. Our primary aim is to demonstrate the huge potential of clinic-led, patient group-led, and researcher-driven innovation in drug repurposing for rare diseases, and the need for new funding streams to help these ideas bridge the translational gap, including Findacure’s Rare Disease Drug Repurposing Social impact Bond (RDDR SIB). https://rasopathiesnet.org/sample-rasopathies-uk-news-post/",Yes (the organization utilizes a biobank),Yes,"Yes (the organization utilizes a natural history study), Yes (the organization utilizes a natural history registry)",Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Yes,Yes,Yes,"NORD, Global Genes (Rare Foundation Alliance), Guidestar"
Raymond A. Wood Foundation - Hypothalamic-Pituitary Brain Tumor Survivors,https://www.rawoodfoundation.org/contact,info@rawoodfoundation.org,rawoodfoundation@gmail.com,United States of America,"The mission of the Raymond A. Wood Foundation is to empower hypothalamic-pituitary brain tumor survivors for improved quality of life by providing access to education, technology, and evolving treatments.","Patient education (eg. Patient education conferences, continuing educational resources), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs), Fundraising efforts",One specific disease,Hypothalamic-pituitary brain tumors,Yes,2016,"Patient's loved one (parent, spouse, etc).",Loved one,Amy and Shawn Wood,They mention off-label oxytocin https://www.rawoodfoundation.org/blog/2021/3/16/hope-for-ho-through-oxytocin,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Yes,Yes,None Listed
Recurrent Meningitis Association,https://recurrentmeningitis.org/,contact@recurrentmeningitis.org,cmwila@recurrentmeningitis.org Executive director Christian Mwila,United States of America,The Recurrent Meningitis Association is using advocacy through research to support those with the rare disease recurrent meningitis.,"Patient education (eg. Patient education conferences, continuing educational resources), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines)",One specific disease,Recurrent meningitis,Yes,2017,Patient,Patient,"Michelle Light Whitt, formerly Michelle Whittemore and Michael Hrehor",N/A,Yes (the organization utilizes a biobank),Yes,Yes (the organization utilizes a natural history registry),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Yes,Unknown (the organization does not mention an annual conference),"Global Genes (Rare Foundation Alliance), Guidestar"
Recurrent Respiratory Papillomatosis Foundation,https://rrpf.org/,bills@rrpf.org,"bills@rrpf.org Bill Stern Director of Research, President and Assistant Secretary",United States of America,"created to provide patient/family support, serve as an information resource for patients and practitioners, promote public awareness, and aid in the prevention, cure and treatment of RRP by encouraging and participating in promising RRP research studies.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), External disease awareness, Basic research (how the disease works), Fundraising efforts",One specific disease,Recurrent respiratory papillomatosis (RRP),Yes,1992,Unknown,Unknown,N/A,"there are a number of medical centers using Cidofovir to treat RRP via ""off label"" use, despite it not being as yet FDA approved for RRP. So finding a doctor to treat you with Cidofovir may not be very difficult. However, despite the early encouraging results, if your RRP is not very aggressive (surgeries at least every 2months or involvement in the trachea or below), it might be prudent to wait to see if Cidofovir proves to have long term efficacy and safety. https://www.rrpf.org/therapies/cidofovir.html Cidofovir – Powerful anti-viral that has been used (off-label) to effectively treat RRP patients since the late 1990s; administered intralesionally mostly in conjunction with surgical excision of papillomas but sometimes without removing the papillomas; some side effects have been reported, including post-op edema, throat soreness and a case of webbing; in high doses it can be toxic to the kidneys and there are indications that it can be carcinogenic in rats; reported efficacy is close to 80%; please read cautionary guidelines from the RRP Task Force before using (http://www.rrpf.org/RRP_Task_Cidofovir.html). MMR/Mumps Vaccine – Has been used (off-label) by Nigel Pashley, MD to treat RRP patients for over a decade; intralesional injections to sites where papilloma have been removed; few side effects reported with most common being some post-op edema; patient/parent reports indicate about 65% efficacy (more on this therapy in the section on Science and Research). https://rrpf.org/newsletters/RRP_Newsletter_Winter07-08.html",Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Yes (the organization utilizes a natural history registry),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Yes,Unknown (the organization does not mention an annual conference),NORD
Reflex Sympathetic Dystrophy Syndrome Association (RSDSA),https://rsds.org/,info@rsds.org,"Jim Broatch, Executive VP and Director: jwbroatch@rsds.org",United States of America,"Our mission is to provide support, education, and hope to all affected by the pain and disability of CRPS/RSD, while we drive research to develop better treatments and a cure.","Patient education (eg. Patient education conferences, continuing educational resources), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Basic research (how the disease works), Drug Repurposing, Fundraising efforts",Unknown,"It is unclear if CRPS – Complex Regional Pain Syndrome – or, RSD – Reflex Sympathetic Dystrophy are one disease or two.",Yes,1984,Unknown,Unknown,N/A,They give priority review to funding research on repurposed drugs: https://rsds.org/rsdsa-research-grants/,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Yes,Unknown (the organization does not mention an annual conference),None Listed
Relapsing Polychondritis Awareness and Support Foundation,https://polychondritis.org/,admin@polychondritis.org,N/A,United States of America,"The RP Foundation’s purpose is to facilitate awareness, education, and research to improve the quality of life for patients with relapsing polychondritis (RP) and advance a cure for this disease.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), External disease awareness, Basic research (how the disease works), Fundraising efforts",One specific disease,Relapsing polychondritis (RP),Yes,2013,Patient,Patient,Carol Giordano,N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),"NORD, Global Genes (Rare Foundation Alliance), Guidestar"
Remember The Girls,https://www.rememberthegirls.org/,info@rememberthegirls.org,N/A,United States of America,"To raise awareness of the issues facing female carriers of X-linked genetic disorders; to provide a forum for X-linked females to share their stories, ask questions, provide and receive emotional support, and develop friendships; to advocate for increased attention of the medical community to the physical and emotional issues of females who carry X-linked disorders; and to provide financial support to carriers of X-linked disorders for medical treatment and diagnosis, as well as those seeking to build families free of genetic disease through assisted reproductive technologies and adoption.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), External disease awareness, Policy development and advocacy",A set of diseases,X-linked genetic disorders NOS,Yes,2017,"Patient, Patient's loved one (parent, spouse, etc).","Patient, Loved one",Taylor Kane,N/A,Unknown (the organization does not mention a biobank),Yes,Yes (the organization utilizes a natural history registry),Yes,Unknown (the organization does not mention a research agenda),N/A (the organization doesn't have or doesn't mention a research agenda),Yes,Unknown (the organization does not mention published treatment guidelines),Unknown (the organization does not mention an annual conference),"NORD, Global Genes (Rare Foundation Alliance)"
Rett Syndrome Research Trust,https://reverserett.org/,They have Contact forms for joining or donating. Here is the link to the Join site: https://reverserett.org/join/,N/A,United States of America,"Rett syndrome is a serious, lifelong neurological disorder that is caused by random mutations in a gene called MECP2. Diagnosed primarily in girls, symptoms typically appear in toddlerhood. Many children with Rett are unable to speak, walk, or use their hands. Breathing problems, feeding tubes, seizures, anxiety, gastrointestinal, and orthopedic issues are common. At RSRT we are dedicated to drive the development of treatments and cures for Rett Syndrome and related MECP2 disorder","Patient community development (eg. Communications, community connection with patients and loved ones), Basic research (how the disease works), Drug Repurposing, Fundraising efforts, gene editing, gene replacement, MECP2 activation, RNA editing, RNA transplicing, protein replacementpo",One specific disease,Rett Syndrome,Yes,2008,"Patient's loved one (parent, spouse, etc).",Loved one,N/A,N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Yes,Unknown (the organization does not mention crowdsourcing),Unknown (the organization does not mention a SAB/MAB),Unknown (the organization does not mention treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
Rhode Island Ehlers Danlos Syndrome Awareness and Support Group,https://www.ehlers-danlos.com/,N/A,N/A,United States of America,"https://www.ehlers-danlos.com/about-us/
The Ehlers-Danlos Society is a global community of individuals, caregivers, healthcare professionals, and supporters, dedicated to saving and improving the lives of those affected by the Ehlers-Danlos syndromes (EDS), hypermobility spectrum disorders (HSD), and related conditions.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Fundraising efforts, Policy development and advocacy",A set of diseases,Ehlers-Danlos syndrome,Yes,1985,"Patient, Patient's loved one (parent, spouse, etc)., Researcher","Patient, Loved one, Researcher",Nancy Hanna Rogowski,N/A,Unknown (the organization does not mention a biobank),Yes,Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention treatment guidelines),Yes,Global Genes (Rare Foundation Alliance)
Ring 14 USA,https://ring14usa.com/,info@ring14usa.org,N/A,United States of America,"In our effort to improve the quality of life for those affected by the rare genetic syndromes of the 14th chromosome, such as Ring14 Syndrome, we commit to promoting and funding critical research, raising awareness of these rare disorders, and providing thoughtful support to this community.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs), Basic research (how the disease works), New drug development, Fundraising efforts",A set of diseases,Chromosome 14 Anomalies,Yes,2011,"Patient's loved one (parent, spouse, etc).",Loved one,Yssa DeWoody & Silvia Weitzman,N/A,Yes (the organization utilizes a biobank),Yes,Yes (the organization utilizes a natural history study),Yes,Yes,Unknown (the organization does not mention crowdsourcing),Yes,Yes,Yes,https://ring14usa.com/index.php/about/our-partners/
Rothmund-Thomson Syndrome Foundation,Rothmund-Thomson Syndrome Foundationhttps://www.rtsplace.org,support@rtsplace.org,"Chair - John Kimmel
Vice-Chair - Laurie Sperou
Treasurer - Shelley Sanders
Secretary - Ta-Tara Rideau
Emil Zakutny
Sheila Townsend",United States of America,"The Mission of the Rothmund-Thomson Syndrome Foundation is to foster worldwide awareness and education about RTS and related disorders and to encourage research through support of scientists and physicians devoted to studying the clinical spectrum, molecular and cellular basis of RECQL4 and related syndromes","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Newly diagnosed patient support (eg. connecting patients to physicians and treatment guidelines), Patient financial support (eg. financial assistance for medical travel/expenses, genetic testing, DME costs)",One specific disease,Got inspired by a patient having  Rothmund-Thomson Syndrome,Yes,2009,"Patient, Patient's loved one (parent, spouse, etc).","Patient, Loved one",Kimmel Family,N/A,Unknown (the organization does not mention a biobank),Unknown (the organization does not mention whether they collect this information or not),Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention treatment guidelines),Unknown (the organization does not mention an annual conference),None Listed
RUNX1 Research Program - RUNX1-Familial Platelet Disorder,https://www.runx1-fpd.org/,info@runx1-fpd.org,N/A,United States of America,"At the RUNX1 Research Program (RRP), our mission is to improve the quality of life and prevent cancer in patients with RUNX1-FPD.  We do this by promoting awareness and funding world-class collaborative research with an empowered patient community.","Patient education (eg. Patient education conferences, continuing educational resources), Patient community development (eg. Communications, community connection with patients and loved ones), Basic research (how the disease works), New drug development, Drug Repurposing",One specific disease,"RUNX1-familial platelet disorder (RUNX1-FPD), Acute Myeloid Leukemia (AML)",Yes,2016,"Patient, Patient's loved one (parent, spouse, etc).","Patient, Loved one",Monica and Tim Babich,"Dr. Ravi Majeti MD, PhD from Stanford University recently received a research grant that will use patient data, computational tools, and experimental models to potentially identify existing drugs that may be repurposed to target inflammation in RUNX1-FPD.",Yes (the organization utilizes a biobank),Yes,Unknown (the organization does not mention either),Unknown (the organization does not mention a community discussion platform),Unknown (the organization does not mention a research agenda),Unknown (the organization does not mention crowdsourcing),Yes,Unknown (the organization does not mention treatment guidelines),Yes,"NORD, Global Genes (Rare Foundation Alliance)"
